country,region,objetivo 500,objetivo 250,objetivo 100,0bjetivo 50,sub_region,
Saint Kitts and Nevis,AMRO,500,250,100,50,Non-Latin Caribbean,
Saint Lucia,AMRO,500,250,100,50,Non-Latin Caribbean,
Saint Vincent and the Grenadines,AMRO,500,250,100,50,Non-Latin Caribbean,
Samoa,WPRO,500,250,100,50,All,
San Marino,EURO,500,250,100,50,All,
Sao Tome and Principe,AFRO,500,250,100,50,All,
Saudi Arabia,EMRO,500,250,100,50,All,
Senegal,AFRO,500,250,100,50,All,
Serbia,EURO,500,250,100,50,All,
Seychelles,AFRO,500,250,100,50,All,
Sierra Leone,AFRO,500,250,100,50,All,
Singapore,WPRO,500,250,100,50,All,
Slovakia,EURO,500,250,100,50,All,
Slovenia,EURO,500,250,100,50,All,
Solomon Islands,WPRO,500,250,100,50,All,
Somalia,EMRO,500,250,100,50,All,
South Africa,AFRO,500,250,100,50,All,
South Korea,WPRO,500,250,100,50,All,
South Sudan,AFRO,500,250,100,50,All,
Spain,EURO,500,250,100,50,All,
Sri Lanka,SEARO,500,250,100,50,All,
Sudan,EMRO,500,250,100,50,All,
Suriname,AMRO,500,250,100,50,Non-Latin Caribbean,
Sweden,EURO,500,250,100,50,All,
Switzerland,EURO,500,250,100,50,All,
Syria,EMRO,500,250,100,50,All,
Taiwan,WPRO,500,250,100,50,All,
Tajikistan,EURO,500,250,100,50,All,
Tanzania,AFRO,500,250,100,50,All,
Thailand,SEARO,500,250,100,50,All,
Timor,SEARO,500,250,100,50,All,
Togo,AFRO,500,250,100,50,All,
Trinidad and Tobago,AMRO,500,250,100,50,Non-Latin Caribbean,
Tunisia,EMRO,500,250,100,50,All,
Turkey,EURO,500,250,100,50,All,
Uganda,AFRO,500,250,100,50,All,
Ukraine,EURO,500,250,100,50,All,
United Arab Emirates,EMRO,500,250,100,50,All,
United Kingdom,EURO,500,250,100,50,All,
United States,AMRO,500,250,100,50,North America,
Uruguay,AMRO,500,250,100,50,South Cone,
Uzbekistan,EURO,500,250,100,50,All,
Vanuatu,WPRO,500,250,100,50,All,
Vatican,EURO,500,250,100,50,All,
Venezuela,AMRO,500,250,100,50,Andean,
Vietnam,WPRO,500,250,100,50,All,
Yemen,EMRO,500,250,100,50,All,
Zambia,AFRO,500,250,100,50,All,
Zimbabwe,AFRO,500,250,100,50,All,
